bin,jobnum,year,units,parktype,reqspaces,waivertype,waiverspaces
3391790,302330993,2012,3,required - high density,2,waiver - small num of spaces,0
3391788,302331000,2012,3,required - high density,2,waiver - small num of spaces,0
3391786,302331019,2012,3,required - high density,2,waiver - small num of spaces,0
3391785,302331028,2012,3,required - high density,2,waiver - small num of spaces,0
3391784,302331037,2012,3,required - high density,2,waiver - small num of spaces,0
3391783,302331055,2012,3,required - high density,2,waiver - small num of spaces,0
3391787,302331108,2012,3,required - high density,2,waiver - small num of spaces,0
3423703,302331803,2014,28,required - high density,14,waiver - small num of spaces,9
3399217,302332937,2016,3,required - high density,2,waiver - small num of spaces,0
3396865,302333151,2013,9,required - high density,5,waiver - small num of spaces,0
3424004,302334739,2018,50,required - high density,15,waiver - small num of spaces,0
3205845,302335060,2011,16,required - high density,8,waiver - small num of spaces,3
3397492,302337102,2011,21,required - high density,11,waiver - small num of spaces,6
3057643,302337111,2014,3,required - high density,2,waiver - small num of spaces,0
3325267,302337932,2011,8,required - high density,4,waiver - small num of spaces,0
3413783,302338539,2011,4,required - high density,2,waiver - small num of spaces,0
3399779,302338548,2010,3,required - high density,2,waiver - small num of spaces,0
3393937,302338619,2012,3,required - high density,2,waiver - small num of spaces,0
3400179,302339468,2010,2,required - high density,1,waiver - small num of spaces,0
3395215,302339672,2010,34,required - high density,17,waiver - small num of spaces,12
3029607,302339725,2011,24,required - high density,7,waiver - small num of spaces,2
3403907,302340072,2010,138,required - high density,28,waiver - small num of spaces,13
3396901,302340081,2010,372,required - high density,149,waiver - small num of spaces,134
3392636,302342169,2010,3,required - high density,2,waiver - small num of spaces,0
3400444,302342212,2010,8,required - high density,4,waiver - small num of spaces,0
3322856,302342445,2010,8,required - high density,4,waiver - small num of spaces,0
3398042,302343328,2011,1,required - high density,1,waiver - small num of spaces,0
3399885,302343596,2010,10,required - high density,5,waiver - small num of spaces,0
3399884,302343603,2010,10,required - high density,5,waiver - small num of spaces,0
3413824,302343756,2013,2,required - high density,1,waiver - small num of spaces,0
3396875,302344247,2010,5,required - low density,3,waiver - small num of spaces,2
3396787,302344835,2010,6,required - high density,3,waiver - small num of spaces,0
3397051,302344844,2010,3,required - high density,2,waiver - small num of spaces,0
3422258,302344899,2015,4,required - high density,2,waiver - small num of spaces,0
3403095,302344906,2015,4,required - high density,2,waiver - small num of spaces,0
3057927,302345362,2016,2,required - high density,1,waiver - small num of spaces,0
3017518,302346174,2010,4,required - high density,2,waiver - small num of spaces,0
3400752,302346815,2012,8,required - high density,4,waiver - small num of spaces,0
3073788,302346842,2012,8,required - high density,4,waiver - small num of spaces,0
3391770,302347048,2012,3,required - high density,2,waiver - small num of spaces,0
3391771,302347057,2012,3,required - high density,2,waiver - small num of spaces,0
3391772,302347066,2012,3,required - high density,2,waiver - small num of spaces,0
3391773,302347075,2013,3,required - high density,2,waiver - small num of spaces,0
3391777,302347119,2012,3,required - high density,2,waiver - small num of spaces,0
3391778,302347128,2012,3,required - high density,2,waiver - small num of spaces,0
3391779,302347137,2012,3,required - high density,2,waiver - small num of spaces,0
3391780,302347146,2012,3,required - high density,2,waiver - small num of spaces,0
3391781,302347155,2012,3,required - high density,2,waiver - small num of spaces,0
3391782,302347164,2012,3,required - high density,2,waiver - small num of spaces,0
3399743,302347173,2012,9,required - high density,5,waiver - small num of spaces,0
3251517,302348323,2014,6,required - high density,3,waiver - small num of spaces,0
3414037,302351773,2013,113,required - high density,79,waiver - small num of spaces,74
3413985,302352460,2013,1,required - high density,1,waiver - small num of spaces,0
3395195,302354244,2010,3,required - high density,2,waiver - small num of spaces,0
3395193,302354253,2010,3,required - high density,2,waiver - small num of spaces,0
3395192,302354262,2010,3,required - high density,2,waiver - small num of spaces,0
3411034,302354271,2010,2,required - high density,1,waiver - small num of spaces,0
3393748,302355305,2010,3,required - high density,2,waiver - small num of spaces,0
3038638,302355519,2010,3,required - high density,2,waiver - small num of spaces,0
3038639,302355528,2010,3,required - high density,2,waiver - small num of spaces,0
3406572,302355537,2010,3,required - high density,2,waiver - small num of spaces,0
3411035,302355546,2010,3,required - high density,2,waiver - small num of spaces,0
3393749,302355555,2010,3,required - high density,2,waiver - small num of spaces,0
3393746,302355564,2010,3,required - high density,2,waiver - small num of spaces,0
3396779,302356000,2010,8,required - high density,4,waiver - small num of spaces,0
3425465,302356251,2014,16,required - high density,8,waiver - small num of spaces,3
3413851,302356439,2013,8,required - high density,4,waiver - small num of spaces,0
3396878,302356554,2012,12,required - high density,4,waiver - small num of spaces,0
3413853,302356652,2013,8,required - high density,4,waiver - small num of spaces,0
3413852,302356661,2013,8,required - high density,4,waiver - small num of spaces,0
3335956,302356858,2014,10,required - high density,5,waiver - small num of spaces,0
3063503,302356867,2016,20,required - high density,10,waiver - small num of spaces,5
3395213,302358598,2011,63,required - high density,44,waiver - small num of spaces,39
3396963,302360004,2010,9,required - high density,5,waiver - small num of spaces,0
3068518,302360200,2011,8,required - high density,4,waiver - small num of spaces,0
3397681,302361977,2011,18,required - high density,9,waiver - small num of spaces,4
3418334,302362379,2014,5,required - high density,3,waiver - small num of spaces,0
3395201,302362985,2010,2,required - high density,1,waiver - small num of spaces,0
3398683,302363797,2010,72,required - high density,50,waiver - small num of spaces,45
3396910,302364885,2010,3,required - high density,2,waiver - small num of spaces,0
3397403,302365116,2011,8,required - high density,4,waiver - small num of spaces,0
3395200,302365152,2010,2,required - high density,1,waiver - small num of spaces,0
3395199,302365161,2010,2,required - high density,1,waiver - small num of spaces,0
3395198,302365170,2010,2,required - high density,1,waiver - small num of spaces,0
3395197,302365189,2010,2,required - high density,1,waiver - small num of spaces,0
3133852,302365713,2010,10,required - high density,5,waiver - small num of spaces,0
3413782,302365722,2011,18,required - high density,9,waiver - small num of spaces,4
3397946,302366393,2014,6,required - high density,3,waiver - small num of spaces,0
3396767,302366641,2011,6,required - high density,3,waiver - small num of spaces,0
3395237,302367711,2010,1,required - high density,1,waiver - small num of spaces,0
3395238,302367720,2010,1,required - high density,1,waiver - small num of spaces,0
3395239,302367739,2010,1,required - high density,1,waiver - small num of spaces,0
3395235,302367846,2010,1,required - high density,1,waiver - small num of spaces,0
3395236,302367855,2010,1,required - high density,1,waiver - small num of spaces,0
3396883,302368667,2012,98,required - high density,59,waiver - small num of spaces,54
3397981,302368701,2012,8,required - high density,4,waiver - small num of spaces,0
3244329,302368961,2011,8,required - high density,4,waiver - small num of spaces,0
3396802,302370404,2010,17,required - high density,12,waiver - small num of spaces,7
3413787,302370690,2012,4,required - high density,2,waiver - small num of spaces,0
3071967,302371056,2011,4,required - high density,2,waiver - small num of spaces,0
3396906,302371065,2011,4,required - high density,2,waiver - small num of spaces,0
3397419,302371270,2010,3,required - high density,2,waiver - small num of spaces,0
3397420,302371289,2010,3,required - high density,2,waiver - small num of spaces,0
3397415,302371298,2010,3,required - high density,2,waiver - small num of spaces,0
3397414,302371305,2010,3,required - high density,2,waiver - small num of spaces,0
3397416,302371314,2010,3,required - high density,2,waiver - small num of spaces,0
3397417,302371323,2010,3,required - high density,2,waiver - small num of spaces,0
3038636,302371332,2010,2,required - high density,1,waiver - small num of spaces,0
3406588,302371341,2010,3,required - high density,2,waiver - small num of spaces,0
3411033,302371350,2010,3,required - high density,2,waiver - small num of spaces,0
3397370,302371369,2010,3,required - high density,2,waiver - small num of spaces,0
3395194,302371378,2010,3,required - high density,2,waiver - small num of spaces,0
3082956,302372046,2013,1,required - high density,1,waiver - small num of spaces,0
3017699,302372260,2010,1,required - high density,1,waiver - small num of spaces,0
3395242,302372484,2010,1,required - high density,1,waiver - small num of spaces,0
3395241,302372493,2010,1,required - high density,1,waiver - small num of spaces,0
3395240,302372509,2010,1,required - high density,1,waiver - small num of spaces,0
3396771,302372983,2012,29,required - high density,20,waiver - small num of spaces,15
3396904,302373526,2010,58,required - high density,29,waiver - small num of spaces,14
3395233,302374776,2010,1,required - high density,1,waiver - small num of spaces,0
3395234,302374785,2010,1,required - high density,1,waiver - small num of spaces,0
3412816,302376140,2013,14,required - high density,7,waiver - small num of spaces,2
3396851,302377595,2010,24,required - high density,7,waiver - small num of spaces,0
3396957,302378317,2012,20,required - high density,6,waiver - small num of spaces,1
3397828,302379290,2011,19,required - high density,10,waiver - small num of spaces,5
3396879,302379316,2013,8,required - high density,4,waiver - small num of spaces,0
3413995,302382062,2019,16,required - high density,5,waiver - small num of spaces,0
3396029,302383098,2010,20,required - high density,10,waiver - small num of spaces,5
3396768,302383524,2011,113,required - high density,57,waiver - small num of spaces,52
3062820,302383551,2015,4,required - high density,2,waiver - small num of spaces,0
3121630,302384159,2010,213,required - high density,149,waiver - small num of spaces,144
3397570,302384266,2011,4,required - high density,2,waiver - small num of spaces,0
3855875,302384373,2014,42,required - high density,21,waiver - small num of spaces,6
3422291,302384774,2015,6,required - high density,3,waiver - small num of spaces,0
3400671,302385853,2011,3,required - high density,2,waiver - small num of spaces,0
3397005,302392284,2013,10,required - high density,5,waiver - small num of spaces,0
3068090,302393274,2010,4,required - high density,2,waiver - small num of spaces,0
3396467,310000094,2010,3,required - high density,2,waiver - small num of spaces,0
3396468,310000101,2010,3,required - high density,2,waiver - small num of spaces,0
3396469,310000110,2010,3,required - high density,2,waiver - small num of spaces,0
3399515,310000138,2010,3,required - high density,2,waiver - small num of spaces,0
3399516,310000183,2010,3,required - high density,2,waiver - small num of spaces,0
3399517,310000192,2010,3,required - high density,2,waiver - small num of spaces,0
3396472,310000209,2010,3,required - high density,2,waiver - small num of spaces,0
3425354,310001315,2017,5,required - high density,3,waiver - small num of spaces,0
3399520,310001495,2010,3,required - high density,2,waiver - small num of spaces,0
3399514,310001501,2010,3,required - high density,2,waiver - small num of spaces,0
3396471,310001510,2010,3,required - high density,2,waiver - small num of spaces,0
3397357,310001725,2019,63,required - high density,32,waiver - small num of spaces,17
3413844,310001921,2011,87,required - high density,61,waiver - small num of spaces,56
3258497,310003901,2010,8,required - high density,4,waiver - small num of spaces,0
3424484,310004198,2010,42,required - high density,21,waiver - small num of spaces,16
3398032,310005035,2011,3,required - high density,2,waiver - small num of spaces,0
3412132,310005115,2013,10,required - high density,5,waiver - small num of spaces,0
3325968,310005124,2010,8,required - high density,4,waiver - small num of spaces,0
3205836,310007836,2011,10,required - high density,5,waiver - small num of spaces,0
3396974,310008283,2011,2,required - high density,1,waiver - small num of spaces,0
3137777,310008292,2019,3,required - high density,2,waiver - small num of spaces,0
3397108,310009264,2010,8,required - high density,4,waiver - small num of spaces,0
3396551,310009273,2010,9,required - high density,5,waiver - small num of spaces,0
3397494,310010029,2011,4,required - high density,2,waiver - small num of spaces,0
3413711,310010742,2013,14,required - high density,7,waiver - small num of spaces,2
3400822,310012072,2010,18,required - high density,9,waiver - small num of spaces,4
3399106,310012269,2011,8,required - low density,5,waiver - small num of spaces,4
3399109,310012474,2010,49,required - high density,25,waiver - small num of spaces,20
3418622,310014800,2018,12,required - high density,6,waiver - small num of spaces,1
3008153,310015346,2012,5,required - high density,3,waiver - small num of spaces,0
3062939,310015453,2011,4,required - high density,2,waiver - small num of spaces,0
3414981,310016443,2010,3,required - high density,2,waiver - small num of spaces,0
3064427,310016611,2010,8,required - high density,4,waiver - small num of spaces,0
3018073,310018012,2011,8,required - high density,4,waiver - small num of spaces,0
3415226,310019459,2014,8,required - high density,4,waiver - small num of spaces,0
3396954,310019592,2010,20,required - high density,6,waiver - small num of spaces,1
3396764,310019878,2012,211,required - high density,106,waiver - small num of spaces,101
3425488,310020241,2013,10,required - high density,5,waiver - small num of spaces,0
3420412,310020456,2014,63,required - high density,25,waiver - small num of spaces,10
3065629,310020465,2010,8,required - high density,4,waiver - small num of spaces,0
3424712,310020697,2017,12,required - high density,6,waiver - small num of spaces,1
3061817,310021311,2011,6,required - high density,3,waiver - small num of spaces,0
3396874,310021936,2010,51,required - high density,36,waiver - small num of spaces,31
3135887,310021945,2010,4,required - high density,2,waiver - small num of spaces,0
3135888,310021954,2010,4,required - high density,2,waiver - small num of spaces,0
3253747,310022622,2014,10,required - high density,3,waiver - small num of spaces,0
3068469,310023701,2010,6,required - high density,3,waiver - small num of spaces,0
3418108,310023827,2013,8,required - high density,4,waiver - small num of spaces,0
3413791,310024737,2012,4,required - high density,2,waiver - small num of spaces,0
3074527,310026682,2010,23,required - high density,12,waiver - small num of spaces,7
3397141,310026986,2011,36,required - high density,25,waiver - small num of spaces,20
3403566,310029466,2011,7,required - high density,5,waiver - small num of spaces,0
3403567,310029475,2011,7,required - high density,5,waiver - small num of spaces,0
3397056,310029484,2011,4,required - high density,3,waiver - small num of spaces,0
3396853,310029493,2011,5,required - high density,4,waiver - small num of spaces,0
3424978,310029509,2011,5,required - high density,4,waiver - small num of spaces,0
3396849,310029518,2011,5,required - high density,4,waiver - small num of spaces,0
3424979,310029527,2011,5,required - high density,4,waiver - small num of spaces,0
3396848,310029536,2011,5,required - high density,4,waiver - small num of spaces,0
3396985,310030203,2011,4,required - high density,2,waiver - small num of spaces,0
3396986,310030212,2011,4,required - high density,2,waiver - small num of spaces,0
3395180,310031505,2011,2,required - high density,1,waiver - small num of spaces,0
3395179,310031514,2010,2,required - high density,1,waiver - small num of spaces,0
3395178,310031523,2010,2,required - high density,1,waiver - small num of spaces,0
3395177,310031532,2010,2,required - high density,1,waiver - small num of spaces,0
3395176,310031541,2010,2,required - high density,1,waiver - small num of spaces,0
3395175,310031550,2010,2,required - high density,1,waiver - small num of spaces,0
3395174,310031569,2010,1,required - high density,1,waiver - small num of spaces,0
3395173,310031578,2010,1,required - high density,1,waiver - small num of spaces,0
3395172,310031587,2011,1,required - high density,1,waiver - small num of spaces,0
3394641,310031596,2011,1,required - high density,1,waiver - small num of spaces,0
3394642,310031603,2010,1,required - high density,1,waiver - small num of spaces,0
3394643,310031612,2010,1,required - high density,1,waiver - small num of spaces,0
3394644,310031621,2010,1,required - high density,1,waiver - small num of spaces,0
3394645,310031630,2010,1,required - high density,1,waiver - small num of spaces,0
3394646,310031649,2010,1,required - high density,1,waiver - small num of spaces,0
3394647,310031658,2010,1,required - high density,1,waiver - small num of spaces,0
3394648,310031667,2010,1,required - high density,1,waiver - small num of spaces,0
3394649,310031676,2010,1,required - high density,1,waiver - small num of spaces,0
3394650,310031685,2010,1,required - high density,1,waiver - small num of spaces,0
3394651,310031694,2010,1,required - high density,1,waiver - small num of spaces,0
3394665,310031701,2010,1,required - high density,1,waiver - small num of spaces,0
3394666,310031710,2010,1,required - high density,1,waiver - small num of spaces,0
3394667,310031729,2010,1,required - high density,1,waiver - small num of spaces,0
3394668,310031738,2010,1,required - high density,1,waiver - small num of spaces,0
3394669,310031747,2010,1,required - high density,1,waiver - small num of spaces,0
3394670,310031756,2010,1,required - high density,1,waiver - small num of spaces,0
3394671,310031765,2010,1,required - high density,1,waiver - small num of spaces,0
3394672,310031774,2010,1,required - high density,1,waiver - small num of spaces,0
3394673,310031783,2010,1,required - high density,1,waiver - small num of spaces,0
3394674,310031792,2010,1,required - high density,1,waiver - small num of spaces,0
3394675,310031809,2010,1,required - high density,1,waiver - small num of spaces,0
3394676,310031818,2010,1,required - high density,1,waiver - small num of spaces,0
3394677,310031827,2010,1,required - high density,1,waiver - small num of spaces,0
3394678,310031836,2010,1,required - high density,1,waiver - small num of spaces,0
3394679,310031845,2010,1,required - high density,1,waiver - small num of spaces,0
3394680,310031854,2010,1,required - high density,1,waiver - small num of spaces,0
3394681,310031863,2010,1,required - high density,1,waiver - small num of spaces,0
3394682,310031872,2010,1,required - high density,1,waiver - small num of spaces,0
3420243,310031881,2011,1,required - high density,1,waiver - small num of spaces,0
3394748,310031890,2011,2,required - high density,1,waiver - small num of spaces,0
3394749,310031907,2010,2,required - high density,1,waiver - small num of spaces,0
3394750,310031916,2010,2,required - high density,1,waiver - small num of spaces,0
3394751,310031925,2010,2,required - high density,1,waiver - small num of spaces,0
3394752,310031934,2010,2,required - high density,1,waiver - small num of spaces,0
3394753,310031943,2010,2,required - high density,1,waiver - small num of spaces,0
3394754,310031952,2010,2,required - high density,1,waiver - small num of spaces,0
3394755,310031961,2010,2,required - high density,1,waiver - small num of spaces,0
3394756,310031970,2010,2,required - high density,1,waiver - small num of spaces,0
3394757,310031989,2010,2,required - high density,1,waiver - small num of spaces,0
3394758,310031998,2010,2,required - high density,1,waiver - small num of spaces,0
3394759,310032005,2010,2,required - high density,1,waiver - small num of spaces,0
3394760,310032014,2010,2,required - high density,1,waiver - small num of spaces,0
3394761,310032023,2010,2,required - high density,1,waiver - small num of spaces,0
3394763,310032032,2010,2,required - high density,1,waiver - small num of spaces,0
3394762,310032041,2010,2,required - high density,1,waiver - small num of spaces,0
3394764,310032050,2010,2,required - high density,1,waiver - small num of spaces,0
3394765,310032069,2010,2,required - high density,1,waiver - small num of spaces,0
3394766,310032078,2010,2,required - high density,1,waiver - small num of spaces,0
3394767,310032087,2010,2,required - high density,1,waiver - small num of spaces,0
3394768,310032096,2010,2,required - high density,1,waiver - small num of spaces,0
3394769,310032103,2010,2,required - high density,1,waiver - small num of spaces,0
3394770,310032112,2010,2,required - high density,1,waiver - small num of spaces,0
3394771,310032121,2010,2,required - high density,1,waiver - small num of spaces,0
3394772,310032130,2010,2,required - high density,1,waiver - small num of spaces,0
3394773,310032149,2010,2,required - high density,1,waiver - small num of spaces,0
3394774,310032158,2010,2,required - high density,1,waiver - small num of spaces,0
3394775,310032167,2010,2,required - high density,1,waiver - small num of spaces,0
3394776,310032176,2010,2,required - high density,1,waiver - small num of spaces,0
3394777,310032185,2010,2,required - high density,1,waiver - small num of spaces,0
3394778,310032194,2010,2,required - high density,1,waiver - small num of spaces,0
3394779,310032201,2011,2,required - high density,1,waiver - small num of spaces,0
3395156,310032210,2011,1,required - high density,1,waiver - small num of spaces,0
3395157,310032229,2010,1,required - high density,1,waiver - small num of spaces,0
3395155,310032238,2010,1,required - high density,1,waiver - small num of spaces,0
3395116,310032247,2010,1,required - high density,1,waiver - small num of spaces,0
3395158,310032256,2010,1,required - high density,1,waiver - small num of spaces,0
3395160,310032265,2010,2,required - high density,1,waiver - small num of spaces,0
3395161,310032274,2010,2,required - high density,1,waiver - small num of spaces,0
3395162,310032283,2010,2,required - high density,1,waiver - small num of spaces,0
3395163,310032292,2010,2,required - high density,1,waiver - small num of spaces,0
3395164,310032309,2010,2,required - high density,1,waiver - small num of spaces,0
3395165,310032318,2010,2,required - high density,1,waiver - small num of spaces,0
3395166,310032327,2010,2,required - high density,1,waiver - small num of spaces,0
3395167,310032336,2010,2,required - high density,1,waiver - small num of spaces,0
3395168,310032345,2010,2,required - high density,1,waiver - small num of spaces,0
3395169,310032354,2010,2,required - high density,1,waiver - small num of spaces,0
3395170,310032363,2010,2,required - high density,1,waiver - small num of spaces,0
3395171,310032372,2011,2,required - high density,1,waiver - small num of spaces,0
3394683,310032381,2011,1,required - high density,1,waiver - small num of spaces,0
3394684,310032390,2010,1,required - high density,1,waiver - small num of spaces,0
3394685,310032407,2010,1,required - high density,1,waiver - small num of spaces,0
3394686,310032416,2010,1,required - high density,1,waiver - small num of spaces,0
3394687,310032425,2010,1,required - high density,1,waiver - small num of spaces,0
3394688,310032434,2010,1,required - high density,1,waiver - small num of spaces,0
3394689,310032443,2010,1,required - high density,1,waiver - small num of spaces,0
3394690,310032452,2010,1,required - high density,1,waiver - small num of spaces,0
3394691,310032461,2010,1,required - high density,1,waiver - small num of spaces,0
3394692,310032470,2010,1,required - high density,1,waiver - small num of spaces,0
3394693,310032489,2010,1,required - high density,1,waiver - small num of spaces,0
3394694,310032498,2010,1,required - high density,1,waiver - small num of spaces,0
3394695,310032504,2010,1,required - high density,1,waiver - small num of spaces,0
3394699,310032513,2010,1,required - high density,1,waiver - small num of spaces,0
3394700,310032522,2010,1,required - high density,1,waiver - small num of spaces,0
3394702,310032531,2010,1,required - high density,1,waiver - small num of spaces,0
3394703,310032540,2011,1,required - high density,1,waiver - small num of spaces,0
3394704,310032559,2011,2,required - high density,1,waiver - small num of spaces,0
3394705,310032568,2010,2,required - high density,1,waiver - small num of spaces,0
3394706,310032577,2010,2,required - high density,1,waiver - small num of spaces,0
3394707,310032586,2010,2,required - high density,1,waiver - small num of spaces,0
3394708,310032595,2010,2,required - high density,1,waiver - small num of spaces,0
3394709,310032602,2010,2,required - high density,1,waiver - small num of spaces,0
3394710,310032611,2010,2,required - high density,1,waiver - small num of spaces,0
3394711,310032620,2010,2,required - high density,1,waiver - small num of spaces,0
3394712,310032639,2010,2,required - high density,1,waiver - small num of spaces,0
3394713,310032648,2010,2,required - high density,1,waiver - small num of spaces,0
3394714,310032657,2011,2,required - high density,1,waiver - small num of spaces,0
3413834,310034575,2012,9,required - high density,5,waiver - small num of spaces,0
3396859,310034619,2010,16,required - high density,8,waiver - small num of spaces,3
3396884,310035002,2011,3,required - high density,2,waiver - small num of spaces,0
3043204,310035226,2014,2,required - high density,1,waiver - small num of spaces,0
3394153,310037055,2010,4,required - high density,3,waiver - small num of spaces,0
3394152,310037064,2010,4,required - high density,3,waiver - small num of spaces,0
3420236,310037153,2014,3,required - high density,2,waiver - small num of spaces,0
3420235,310037162,2015,3,required - high density,2,waiver - small num of spaces,0
3420233,310037171,2015,3,required - high density,2,waiver - small num of spaces,0
3420232,310037180,2014,3,required - high density,2,waiver - small num of spaces,0
3342255,310037288,2010,3,required - high density,2,waiver - small num of spaces,0
3256791,310038401,2013,1,required - low density,1,waiver - small num of spaces,0
3422227,310038713,2014,8,required - high density,4,waiver - small num of spaces,0
3397481,310041816,2014,6,required - high density,3,waiver - small num of spaces,0
3396769,310042593,2011,20,required - high density,10,waiver - small num of spaces,5
3394156,310043592,2010,4,required - high density,3,waiver - small num of spaces,0
3394157,310043609,2010,4,required - high density,3,waiver - small num of spaces,0
3394158,310043618,2010,4,required - high density,3,waiver - small num of spaces,0
3396595,310043887,2010,3,required - high density,2,waiver - small num of spaces,0
3396711,310043896,2010,3,required - high density,2,waiver - small num of spaces,0
3072259,310045180,2010,8,required - high density,4,waiver - small num of spaces,0
3417598,310045386,2014,10,required - high density,3,waiver - small num of spaces,0
3413842,310045812,2012,16,required - high density,8,waiver - small num of spaces,3
3396908,310046447,2014,6,required - high density,3,waiver - small num of spaces,0
3424473,310048855,2017,71,required - high density,28,waiver - small/narrow,0
3396786,310049195,2016,5,required - high density,3,waiver - small num of spaces,0
3397687,310049685,2011,8,required - high density,4,waiver - small num of spaces,0
3413832,310050244,2012,8,required - high density,4,waiver - small num of spaces,0
3398008,310050547,2019,3,required - high density,2,waiver - small num of spaces,0
3394154,310050654,2010,4,required - high density,3,waiver - small num of spaces,0
3394155,310050663,2010,4,required - high density,3,waiver - small num of spaces,0
3396933,310050805,2011,19,required - high density,10,waiver - small num of spaces,5
3396781,310051092,2010,2,required - high density,1,waiver - small num of spaces,0
3405216,310051555,2015,8,required - high density,4,waiver - small num of spaces,0
3068615,310051564,2010,7,required - high density,4,waiver - small num of spaces,0
3421994,310051653,2015,8,required - high density,4,waiver - small num of spaces,0
3397495,310051993,2012,8,required - high density,4,waiver - small num of spaces,0
3397206,310052082,2013,51,required - high density,20,waiver - small num of spaces,5
3414331,310052206,2013,14,required - high density,3,waiver - small num of spaces,0
3396812,310054008,2011,33,required - high density,17,waiver - small num of spaces,12
3332935,310054678,2019,6,required - high density,3,waiver - small num of spaces,0
3332935,310054687,2019,6,required - high density,3,waiver - small num of spaces,0
3421992,310054981,2013,6,required - high density,3,waiver - small num of spaces,0
3396794,310055356,2010,7,required - high density,3,waiver - small num of spaces,0
3427055,310055436,2017,2,required - high density,1,waiver - small num of spaces,0
3065679,310056845,2010,8,required - high density,4,waiver - small num of spaces,0
3396791,310057390,2015,15,required - high density,8,waiver - small num of spaces,3
3244368,310058497,2011,1,required - high density,1,waiver - small num of spaces,0
3396842,310058816,2011,95,required - high density,19,waiver - small num of spaces,4
3397064,310059637,2010,12,required - high density,6,waiver - small num of spaces,1
3397460,310060251,2017,35,required - high density,18,waiver - small num of spaces,13
3396858,310060803,2012,28,required - high density,14,waiver - small num of spaces,9
3136148,310060894,2010,2,required - high density,1,waiver - small num of spaces,0
3403573,310062570,2010,42,required - high density,29,waiver - small num of spaces,24
3064183,310062614,2014,8,required - high density,4,waiver - small num of spaces,0
3072205,310065247,2013,8,required - high density,4,waiver - small num of spaces,0
3425906,310065256,2013,8,required - high density,4,waiver - small num of spaces,0
3396759,310065595,2013,1,required - low density,1,waiver - small/narrow,0
3414121,310065666,2014,6,required - high density,3,waiver - small num of spaces,0
3399527,310066683,2011,3,required - high density,2,waiver - small num of spaces,0
3399530,310066692,2011,3,required - high density,2,waiver - small num of spaces,0
3399532,310066709,2011,3,required - high density,2,waiver - small num of spaces,0
3399522,310066718,2011,3,required - high density,2,waiver - small num of spaces,0
3008971,310067021,2014,6,required - high density,2,waiver - small num of spaces,0
3055602,310068093,2010,10,required - high density,5,waiver - small num of spaces,0
3421997,310068299,2013,127,required - high density,89,waiver - small num of spaces,84
3064457,310068798,2014,8,required - high density,4,waiver - small num of spaces,0
3396782,310070561,2010,8,required - high density,4,waiver - small num of spaces,0
3401060,310070847,2010,7,required - high density,4,waiver - small num of spaces,0
3397590,310071089,2010,6,required - high density,3,waiver - small num of spaces,0
3000148,310071169,2010,10,required - high density,5,waiver - small num of spaces,0
3413788,310071294,2013,104,required - high density,42,waiver - small num of spaces,27
3418185,310072998,2014,4,required - high density,2,waiver - small num of spaces,0
3027673,310073041,2011,7,required - high density,4,waiver - small num of spaces,0
3400431,310073265,2011,8,required - high density,4,waiver - small num of spaces,0
3396804,310074246,2011,26,required - high density,13,waiver - small num of spaces,8
3422021,310074308,2013,8,required - high density,4,waiver - small num of spaces,0
3421639,310074353,2015,10,required - high density,5,waiver - small num of spaces,0
3414507,310074406,2017,3,required - high density,2,waiver - small num of spaces,0
3029435,310075753,2010,8,required - high density,4,waiver - small num of spaces,0
3396773,310076976,2011,33,required - high density,23,waiver - small num of spaces,18
3396788,310077341,2010,6,required - high density,3,waiver - small num of spaces,0
3396987,310078233,2012,7,required - high density,4,waiver - small num of spaces,0
3414291,310078359,2010,2,required - high density,1,waiver - small num of spaces,0
3250930,310078386,2012,31,required - high density,16,waiver - small num of spaces,11
3396755,310079447,2011,21,required - high density,11,waiver - small num of spaces,6
3426917,310080417,2017,8,required - high density,4,waiver - small num of spaces,0
3142271,310081032,2011,5,required - low density,3,waiver - small num of spaces,2
3413825,310081283,2013,4,required - high density,2,waiver - small num of spaces,0
3418365,310081979,2016,13,required - high density,7,waiver - small num of spaces,2
3398006,310082255,2011,14,required - high density,7,waiver - small num of spaces,2
3425028,310084565,2019,13,required - high density,7,waiver - small num of spaces,2
3425028,310084574,2019,14,required - high density,7,waiver - small num of spaces,2
3391827,310084752,2012,8,required - high density,4,waiver - small num of spaces,0
3399525,310085207,2011,3,required - high density,2,waiver - small num of spaces,0
3413828,310085261,2012,8,required - high density,4,waiver - small num of spaces,0
3399524,310085573,2011,3,required - high density,2,waiver - small num of spaces,0
3425469,310085920,2010,8,required - high density,4,waiver - small num of spaces,0
3063406,310086126,2013,88,required - high density,62,waiver - small num of spaces,57
3396893,310086518,2012,8,required - high density,4,waiver - small num of spaces,0
3426557,310086554,2018,63,required - high density,25,waiver - small num of spaces,10
3397520,310087018,2012,4,required - high density,2,waiver - small num of spaces,0
3397999,310087492,2010,77,required - high density,54,waiver - small num of spaces,49
3022843,310090512,2010,7,required - high density,4,waiver - small num of spaces,0
3413823,310090629,2011,28,required - high density,14,waiver - small num of spaces,9
3421795,310091003,2016,8,required - high density,4,waiver - small num of spaces,0
3422771,310091012,2016,8,required - high density,4,waiver - small num of spaces,0
3395115,310091165,2010,32,required - high density,16,waiver - small num of spaces,11
3398427,310091227,2014,8,required - high density,4,waiver - small num of spaces,0
